light_path,light_file,device_id,target,panel,filter_raw,filter_canonical,exposure_s,bin,image_size,temp_c,bias_master,bias_status,bias_match_reason,dark_master,dark_status,dark_match_reason,flat_master,flat_status,flat_match_reason,resolved,ambiguity
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts,T4,Galaxy_Center,,Red,RED,180.0,1,4500x3600,-20.0,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=RED -> masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062109-180S-Red.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062109-180S-Red.fts,T4,Galaxy_Center,,Red,RED,180.0,1,4500x3600,-20.0,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=RED -> masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062457-180S-Red.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062457-180S-Red.fts,T4,Galaxy_Center,,Red,RED,180.0,1,4500x3600,-20.0,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=RED -> masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062844-180S-Red.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062844-180S-Red.fts,T4,Galaxy_Center,,Red,RED,180.0,1,4500x3600,-20.0,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=RED -> masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063231-180S-Red.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063231-180S-Red.fts,T4,Galaxy_Center,,Red,RED,180.0,1,4500x3600,-20.0,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=RED -> masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063620-180S-Green.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063620-180S-Green.fts,T4,Galaxy_Center,,Green,GREEN,180.0,1,4500x3600,-19.9375,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=GREEN -> masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@064010-180S-Green.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@064010-180S-Green.fts,T4,Galaxy_Center,,Green,GREEN,180.0,1,4500x3600,-19.9375,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=GREEN -> masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@064358-180S-Green.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@064358-180S-Green.fts,T4,Galaxy_Center,,Green,GREEN,180.0,1,4500x3600,-19.9375,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=GREEN -> masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@064748-180S-Green.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@064748-180S-Green.fts,T4,Galaxy_Center,,Green,GREEN,180.0,1,4500x3600,-19.9375,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=GREEN -> masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,YES,NONE
testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051551-180S-Red.fts,Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051551-180S-Red.fts,T4,Galaxy_Center,,Red,RED,180.0,1,4500x3600,-20.0,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,unique,device=T4 bin=1 size=4500x3600 -> masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,exact exposure match: Light=180.0s == Dark=180.0s -> masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,unique,device=T4 bin=1 size=4500x3600 filter=RED -> masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,YES,NONE
