artifact_id,host,relative_path,size_bytes,sha256,producer_commit,config_sha256,input_manifest_sha256,created_utc,retention
T4D001,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts,32411520,CE944AE795BDE60CB76DFEA07F749EB883158A20144C1DF5EA0AB24D621AFDB7,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D002,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062109-180S-Red.fts,32411520,9AF5F3382422538A476BB69481702B107BE04C679527EAE35DF7935804F974CE,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D003,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062457-180S-Red.fts,32411520,95F47FBA0DA750EAA8D62011843B5C4B956ABA6ACBCAB28208EB4083963B8D05,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D004,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@062844-180S-Red.fts,32411520,3505DDD85F0BFA24D55E7F9F27DE4A4FA166D5658F5BE4EF6039BDD20C018C64,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D005,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063231-180S-Red.fts,32411520,AE7D2FEBEA5C451892D7EC40382C13AB706EA82CD1D6FCE69D8632ED9DD4D1F4,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D006,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051551-180S-Red.fts,32411520,F8916F82C6AEC7BFAC61A3793E2F29BBBF3C39A8D52A17CF173FA2CE1ABBD3A5,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D007,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@051958-180S-Red.fts,32411520,A551F2CF5CAF1DE4EC0C68FE7ED445460AA58EDF105BF42B4A6A3734932413E6,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D008,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@052346-180S-Red.fts,32411520,4D561895C01E409F0533FD69946CCAE0E37FD352079B92F21FDC9C98A7967B25,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D009,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@052735-180S-Red.fts,32411520,D4E6F15C7E765CACBAAE92AF677A724E79750EC68B68741C66E76787942560E9,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D010,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@053123-180S-Red.fts,32411520,4104411B201C2707E40E37BEDC28EE52056346B7F8A77E983AC2E1925C8CB297,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D011,fatduck,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250813@011752-180S-Red.fts,32411520,E32A404C9DA12BFD093DD7C5562B818B1F70E1193F47A4B4E59C4B700D0945E0,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D012,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@002647-180S-Red.fts,32411520,30EEC2749E75931B60F38DD9937B3D77F634C2F320BCE1642671D69C6404A792,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D013,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@003055-180S-Red.fts,32411520,7A084CAF2C7F095962784E8785FBE2DDF23594D2C2BA6B6E7B4AF0C118D6AA32,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D014,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@003443-180S-Red.fts,32411520,A0C4DD8CD416AF2BCF57076C56116CF8B71885072D118ACA06AB394BE344B363,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D015,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@003831-180S-Red.fts,32411520,FCCB89DF1971CFF0A178CA3F3936F1BBF4CF14663687693C6499470973C6C9D8,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
