relative_path,category,identical_across_budgets,normalized_identical,sha256_b1,sha256_b4,sha256_b16
alloc_report.json,run_scoped,False,False,5c9c12951fcdb0dadd1deff6cbc063438688940759c10fd3ab63934623cfcbbc,2f4d4efac211f0ce09af5876a426066346fe1b2f57632503645db736829740cb,a2226864ee4b980125c064a999ca81858df09d502afa0385fe77765f4a0b3881
alloc_samples.csv,run_scoped,False,False,5a1f93a03c44c1ad8ce23a6121b547b151aef6ca891ee8a832b631c5935045e1,9537444e606f0f11a5d962d7d0e0b0d4d6369a7fab67f807bc2870831db35ede,9560ac07ed0b2e6a15a2b6a1a99576b7a67e8f9e16244e2c631867e04e52918a
astrocs_run_3db285e19010.json,run_scoped,False,False,d4b1f8794cebab0ae86eef496f28e624bcb5dc9e756089d5c935c5825e49410c,,
astrocs_run_3e075edd6510.json,run_scoped,False,False,,ff80cdfbf86868e266ddbf35cdb8f2a9c8b0245319fbc424b21c4e480684cb2c,
astrocs_run_3e2af82925bc.json,run_scoped,False,False,,,2c78813be6d42bc3d6ee2a5aa8884633ce2a9deff4c26dd13bfc6159e991807d
calibrated_LDN43_LRGBH_flying_dutchman-20250504@034648-1200S-Green.fts,science_product,True,True,0940134102db12b22721c3fbe0755ee1957f726c9bc98a444d06282e35d02794,0940134102db12b22721c3fbe0755ee1957f726c9bc98a444d06282e35d02794,0940134102db12b22721c3fbe0755ee1957f726c9bc98a444d06282e35d02794
graph/graph_sidecar.json,run_scoped,False,False,ff08573c041d4287428fd58dfb31c13321c1ef6dd55e7b1b4bd32e69ebc9d103,9fb2e335136627b8e5f2a019a60b12cb0e96c996bd4df0bdac0ce2dbc3ff78ce,91e63e78950d04ada49c60db7956b50b0287c10c1e97e15a9c65786dc62946f7
graph/l0_graph.dot,run_scoped,False,False,543c6a9484b6d795cb29e7a79efb2078bbaf7f217dde02c9fd23578a578fd911,c290961e3340a01c547c3e19f886a7e0e15aa381045be1eb6b2152d091e84564,8f33295243a6973a46e6a130d6d56cde7dbf3e7e11ca09590d902fd92d9b122d
graph/l0_graph.json,run_scoped,True,True,d8ba94045112b2a99b5d070c56780ed7944210f251e076e3734422ad3a0c0da3,d8ba94045112b2a99b5d070c56780ed7944210f251e076e3734422ad3a0c0da3,d8ba94045112b2a99b5d070c56780ed7944210f251e076e3734422ad3a0c0da3
graph/observed_graph.dot,run_scoped,False,False,3740b65d611594527fd04dae9de4c3a162cf0900c4b14c18c4028bc863c1952e,48435a6923bd9d1fefa2194740d7cd7193273f6b825724c39e6d03fd52692a6f,0aa0e23a52207851a17b89b56bc38896e130835067529f59fb311c19db3ae4df
graph/observed_graph.svg,run_scoped,True,True,8ca054abefa3dc00c8bf921c0fc77f52991289f833b0e4d7e84c9389d8d6da4b,8ca054abefa3dc00c8bf921c0fc77f52991289f833b0e4d7e84c9389d8d6da4b,8ca054abefa3dc00c8bf921c0fc77f52991289f833b0e4d7e84c9389d8d6da4b
