device_id,filter_canonical,target,exposure_s,image_size,light_path,bias_master,dark_master,flat_master,light_shape,light_min,light_max,light_mean,light_std,light_median,bias_mean,bias_median,dark_mean,dark_median,flat_mean,flat_median,flat_norm_min,flat_norm_max,calibrated_shape,calibrated_min,calibrated_max,calibrated_mean,calibrated_std,calibrated_median,nan_count,inf_count,saturated_light_count,extreme_calibrated_count,total_pixels,bad_pixel_count,bad_pixel_ratio,elapsed_s,passed,failure_reasons,output_fits
T4,RED,Galaxy_Center,180.0,4500x3600,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,3600x4500,1267.0,65535.0,1542.241943359375,1051.7218017578125,1457.0,0.013990437611937523,0.013979637995362282,0.01677537150681019,0.016747038811445236,0.3990964889526367,0.40313637256622314,0.7447345852851868,2.313960552215576,3600x4500,1231.2965087890625,82245.7109375,1564.0218505859375,1085.43017578125,1471.60498046875,0,0,1688,0,16200000,0,0.0,1.4618468284606934,YES,,engineering_v1.2/evidence/P10-006/calibrated/T4_RED_calibrated.fits
T4,GREEN,Galaxy_Center,180.0,4500x3600,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063620-180S-Green.fts,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,3600x4500,1275.0,65535.0,1485.1728515625,856.7554321289062,1434.0,0.013990437611937523,0.013979637995362282,0.01677537150681019,0.016747038811445236,0.40276700258255005,0.4074830412864685,0.6713423728942871,2.309619426727295,3600x4500,1245.156494140625,81626.640625,1506.1597900390625,881.547119140625,1442.7509765625,0,0,1162,0,16200000,0,0.0,1.5612821578979492,YES,,engineering_v1.2/evidence/P10-006/calibrated/T4_GREEN_calibrated.fits
T4,BLUE,Galaxy_Center,180.0,4500x3600,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@055414-180S-Blue.fts,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf,3600x4500,1140.0,65535.0,1306.7554931640625,734.7310180664062,1267.0,0.013990437611937523,0.013979637995362282,0.01677537150681019,0.016747038811445236,0.3923158049583435,0.39653462171554565,0.6499496102333069,2.2775137424468994,3600x4500,1098.1783447265625,79622.8359375,1324.54345703125,754.7899780273438,1273.4742431640625,0,0,864,0,16200000,0,0.0,1.5230798721313477,YES,,engineering_v1.2/evidence/P10-006/calibrated/T4_BLUE_calibrated.fits
T4,HA,Galaxy_Center,300.0,4500x3600,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@061318-300S-H-alpha.fts,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-300.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-H-alpha_mono.xisf,3600x4500,1098.0,65535.0,1248.8831787109375,391.2864685058594,1227.0,0.013990437611937523,0.013979637995362282,0.017557352781295776,0.01751786656677723,0.35322290658950806,0.3571845591068268,0.7225998640060425,2.2646608352661133,3600x4500,1043.966064453125,83186.6171875,1268.5400390625,413.0137634277344,1235.9178466796875,0,0,173,0,16200000,0,0.0,1.4786186218261719,YES,,engineering_v1.2/evidence/P10-006/calibrated/T4_HA_calibrated.fits
T4,OIII,Galaxy_Center,600.0,4500x3600,testdata/Galaxy_Center_T4/lights/panel1/Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@063631-600S-Oiii.fts,testdata\T4 calibration files\masterBias_BIN-1_4500x3600.xisf,testdata\T4 calibration files\masterDark_BIN-1_4500x3600_EXPOSURE-600.00s.xisf,testdata\T4 calibration files\masterFlat_BIN-1_4500x3600_FILTER-Oiii_mono.xisf,3600x4500,1183.0,65535.0,1359.89697265625,418.26312255859375,1343.0,0.013990437611937523,0.013979637995362282,0.01951131410896778,0.019442029297351837,0.40136614441871643,0.4060687720775604,0.6831589937210083,2.317955493927002,3600x4500,1152.93896484375,79031.296875,1379.6795654296875,432.935791015625,1347.290771484375,0,0,224,0,16200000,0,0.0,1.3431532382965088,YES,,engineering_v1.2/evidence/P10-006/calibrated/T4_OIII_calibrated.fits
T2,RED,LDN43,1200.0,4096x4096,testdata/LDN43_T2素材_flying_dutchman/lights/LDN43_LRGBH_flying_dutchman-20250503@032713-1200S-Red.fts,testdata\T2 calibration files\masterBias_BIN-1_4096x4096.xisf,testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,4096x4096,1410.0,65535.0,2345.86376953125,1001.4915161132812,2308.0,0.015291142277419567,0.015287505462765694,0.015599189326167107,0.015523003414273262,0.20479461550712585,0.20638062059879303,0.3219097852706909,3.771544933319092,4096x4096,2070.389404296875,75044.0,2365.90185546875,1009.052734375,2313.28466796875,0,0,2043,0,16777216,0,0.0,1.611605167388916,YES,,engineering_v1.2/evidence/P10-006/calibrated/T2_RED_calibrated.fits
T2,GREEN,LDN43,1200.0,4096x4096,testdata/LDN43_T2素材_flying_dutchman/lights/LDN43_LRGBH_flying_dutchman-20250503@034804-1200S-Green.fts,testdata\T2 calibration files\masterBias_BIN-1_4096x4096.xisf,testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,4096x4096,1175.0,65535.0,1942.633056640625,919.0751342773438,1908.0,0.015291142277419567,0.015287505462765694,0.015599189326167107,0.015523003414273262,0.2426191121339798,0.2452656328678131,0.19491732120513916,3.182976484298706,4096x4096,1729.3326416015625,73532.1796875,1965.1820068359375,926.3065185546875,1920.423095703125,0,0,1744,0,16777216,0,0.0,1.6504113674163818,YES,,engineering_v1.2/evidence/P10-006/calibrated/T2_GREEN_calibrated.fits
T2,BLUE,LDN43,1200.0,4096x4096,testdata/LDN43_T2素材_flying_dutchman/lights/LDN43_LRGBH_flying_dutchman-20250503@040855-1200S-Blue.fts,testdata\T2 calibration files\masterBias_BIN-1_4096x4096.xisf,testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,4096x4096,1129.0,65535.0,1679.7894287109375,779.6864624023438,1653.0,0.015291142277419567,0.015287505462765694,0.015599189326167107,0.015523003414273262,0.1885221004486084,0.19070477783679962,0.15043336153030396,3.98569655418396,4096x4096,1317.8438720703125,73377.40625,1700.562255859375,785.817138671875,1663.95458984375,0,0,1260,0,16777216,0,0.0,1.7257835865020752,YES,,engineering_v1.2/evidence/P10-006/calibrated/T2_BLUE_calibrated.fits
T2,HA,LDN43,1200.0,4096x4096,testdata/LDN43_T2素材_flying_dutchman/lights/LDN43_LRGBH_flying_dutchman-20250503@042947-1200S-H-alpha.fts,testdata\T2 calibration files\masterBias_BIN-1_4096x4096.xisf,testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,4096x4096,674.0,65535.0,1092.046875,350.6950988769531,1083.0,0.015291142277419567,0.015287505462765694,0.015599189326167107,0.015523003414273262,0.20478014647960663,0.20615842938423157,0.3568262457847595,4.40289831161499,4096x4096,724.7103271484375,67649.640625,1100.699951171875,338.1107482910156,1084.58837890625,0,0,174,0,16777216,0,0.0,1.593348741531372,YES,,engineering_v1.2/evidence/P10-006/calibrated/T2_HA_calibrated.fits
T2,OIII,NGC1727,1800.0,4096x4096,testdata/NGC1727_T2_flying_dutchman/lights/NGC1727_RGBHO_T2_flying_dutchman-20251031@075259-1800S-OIII.fts,testdata\T2 calibration files\masterBias_BIN-1_4096x4096.xisf,testdata\T2 calibration files\masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf,testdata\T2 calibration files\masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,4096x4096,1036.0,65535.0,1140.1656494140625,499.7402648925781,1110.0,0.015291142277419567,0.015287505462765694,0.014854323118925095,0.014690623618662357,0.2695813775062561,0.2722468674182892,0.175869420170784,2.951089859008789,4096x4096,1019.8009033203125,71499.21875,1152.5484619140625,499.0906677246094,1120.1016845703125,0,0,318,0,16777216,0,0.0,1.578122854232788,YES,,engineering_v1.2/evidence/P10-006/calibrated/T2_OIII_calibrated.fits
